dish-en,price,dish-he,category
Wonton soup,12,מרק וון טון,Soup
Meat Ball  soup,12,מרק כדורי בשר,Soup
Hot and sour soup,12,מרק חמוץ מתוק,Soup
Vegetable soup,12,מרק ירקות,Soup
Corn soup,12,מרק תירס,Soup
Egg drop soup,12,מרק ביצים,Soup
Mushroom soup,12,מרק פטריות,Soup
Eggroll,12,אגרול,Entrees
Fried wonton with hot sauce,35,וון טון מטוגן ברוטב חריף,Entrees
Chinese Salad,19,סלט סיני,Entrees
Chicken Salad,31,סלט עוף,Entrees
Deep fried shrimps with sesame,67,שרימפס מטוגנים בסומסום,Shrimps
Deep fried shrimps with coconut,67,שרימפס מטוגנים בקוקוס,Shrimps
Spicy shrimps szechuan style,67,שרימפס בנוסח סצ׳ואן חריף,Shrimps
shrimps with celery and almond,67,שרימפס עם סלרי ושקדים,Shrimps
shrimps with nuts,67,שרימפס עם אגוזים,Shrimps
Fried shrimps with garlic sauce,67,שרימפס מטוגנים ברוטב שום,Shrimps
Shrimps in sweet and sour sauce,67,שרימפס ברוטב חמוץ מתוק,Shrimps
Shrimps in konpo spicy sauce,67,שרימפס ברוטב קונפו חריף,Shrimps
Spicy calamari szechuan style ,67,קלאמרי בנוסח סצ׳ואן חריף,Calamari
Calamary in konpo spicy sauce,67,קלאמרי ברוטב קונפו חריף,Calamari
Fried calamari with garlic sauce and lemon,67,קלאמרי מטוגנים ברוטב שום ולימון,Calamari
Calamari in sweet and sour sauce,67,קלאמרי ברוטב חמוץ מתוק,Calamari
Calamari  with celery and almond,67,קלאמרי עם סלרי ושקדים,Calamari
Deep fried fish with sesame,50,דג מטוגן בשומשום,Fish
Fish in hot sweet tomato sauce,50,דג ברוטב עגבניות מתוק חריף,Fish
Fish in spicy garlic sauce,50,דג ברוטב שום חריף,Fish
Fish with vegetable,50,דג עם ירקות,Fish
Fish in sweet and sour sauce,50,דג ברוטב חמוץ מתוק,Fish
Chicken in sweet and sour sauce,46,עוף ברוטב חמוץ מתוק,Chicken
Spicy chicken szechuan,46,עוף בנוסח סצ׳ואן חריף,Chicken
Chicken in konpo spicy sauce,46,עוף ברוטב קונפו חריף,Chicken
Chicken with nuts,46,עוף עם אגוזים,Chicken
Chicken with pineapple,46,עוף עם אננס,Chicken
Chicken with celery and almond,46,עוף עם סלרי ושקדים,Chicken
deep fried chicken with sesame,46,עוף מטוגן בסומסום,Chicken
Chicken in curry sauce,46,עוף ברוטב קארי,Chicken
Chicken in peanut sauce,46,עוף ברוטב בוטנים,Chicken
Chicken with bamboo shoot and mushroom,46,עוף עם בומבו שוט ופטריות,Chicken
fried chicken in lemon sauce,46,עוף מטוגן ברוטב לימון,Chicken
Chicken with mushroom,46,עוף עם פטריות,Chicken
Spare ribs in  honey and garlic sauce,62,ספריבס ברוטב שום ודבש,Pork
Spare ribs szechuan style,62,ספריבס בנוסח סצואן חריף,Pork
Pork in sweet and sour sauce,46,פורק ברוטב חמוץ מתוק,Pork
Pork with celery and almonds,46,פורק עם סלרי ושקדים,Pork
Spicy pork szechuan style,46,פורק בנוסח סצ׳ואן חריף,Pork
Pork with mushroom,46,פורק עם פטריות,Pork
Pork in konpo spicy sauce,46,פורק ברוטב קונפו חריף,Pork
Spicy beef szechuan style,46,בקר בנוסח סצואן חריף,Beef
Beef in konpo spicy sauce,46,בקר ברוטב קונפו חריף,Beef
Beef in peanut sauce,46,בקר ברוטב בוטנים,Beef
Beef with green and red pepper,46,בקר עם פלפל אדום וירוק,Beef
Special dry beef,46,בקר יבש מיוחד,Beef
Crispy beef with green onion,46,בקר פריך עם בצל,Beef
Beef in oyster sauce,46,בקר ברוטב צדפות,Beef
Spicy beef with eggplant szechuan style,46,בקר עם חצילים בנוסח סצ׳ואן חריף,Beef
Beef with mushroom,46,בקר עם פטריות,Beef
Beef with mushroom and bamboo shoots,46,בקר עם פטריות ובמבו שוט,Beef
Mixed vegetables,27,ירקות מעורבים,Vegetables
Bean sprouts,27,נבטים,Vegetables
Spicy eggplant szechuan style,27,חצילים בנוסך סצ׳ואן חריף,Vegetables
Spicy cabbage szechuan style,27,כרוב בנוסך סצ׳ואן חריף,Vegetables
Bamboo shoots and almond,27,פטריות ובמבו שוט,Vegetables
Crispy mushrooms,27,פטריות מטוגנות בציפוי פריך,Vegetables
Noodles with vegetables,31,אטריות עם ירקות,Noodles
Noodles with beef,46,אטריות עם בקר,Noodles
Noodles with chicken,46,אטריות עם עוף,Noodles
Noodles with pork,46,אטריות עם פורק,Noodles
Noodles with shrimps,67,אטריות עם שרימפס,Noodles
Choumein with vegetables,31,צ׳יומין עם ירקות,Choumein
Choumein with beef,46,צ׳יומין עם בקר,Choumein
Choumein with chicken,46,צ׳יומין עם עוף,Choumein
Choumein with pork,46,צ׳יומין עם פורק,Choumein
Choumein with shrimps,67,צ׳יומין עם שרימפס,Choumein
Steam rice,8,אורז מאודה,Rice
Fried  rice,9,אורז מטוגן,Rice
Special fried rice,30,אורז מטוגן מיוחד,Rice
Fried banana with caramel,12,בננה מטוגנת עם קרמל,Dessert
Fried pineapple with caramel,12,אננס מטוגנת עם קרמל,Dessert
Fried apple with caramel,12,תפוח מטוגנת עם קרמל,Dessert
Sugared nuts,15,אגוזים מסוכרים,Dessert
lychees,12,ליצ׳י,Dessert
Fried lychees with caramel,12,ליצ׳י מטוגנת עם קרמל,Dessert
Ice cream,15,גלידה,Dessert
fried ice cream,19,גלידה מטוגנת,Dessert
fresh fruit salad with ginger,12,סלט פירות טרי עם ג׳ינגר,Dessert
